movie_name,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,Gross Profit
Jindabyne,2007,69130100,10800000,399879,2462665,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,,"-$7,937,456.00"
Things We Lost in the Fire,2007,51200100,16000000,3287315,4832833,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,119,"-$7,879,852.00"
Coriolanus,2010,142040100,10000000,749641,1429982,R,Historical Fiction,Based on Play,Live Action,Drama,0,122,"-$7,820,377.00"
The Homesman,2014,210010100,16000000,2429989,5787582,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Western,0,120,"-$7,782,429.00"
Romance and Cigarettes,2007,66440100,11000000,551002,2680249,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,,"-$7,768,749.00"
American Heist,2014,228260100,10000000,0,2341218,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,94,"-$7,658,782.00"
Red Tails,2009,109930100,58000000,49876377,489121,PG-13,Historical Fiction,Based on Real Life Events,Live Action,Action,0,120,"-$7,634,502.00"
I’m Not There,2007,49050100,20000000,4017609,8380004,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,135,"-$7,602,387.00"
Bucky Larson: Born to Be a Star,2010,134550100,10000000,2529395,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,96,"-$7,470,605.00"
Ong-Bak 2,2008,107740100,15000000,102458,7480592,R,Contemporary Fiction,Original Screenplay,Live Action,Action,1,,"-$7,416,950.00"
The Wolfman,2010,108740100,150000000,62189884,80444474,R,Fantasy,Remake,Live Action,Horror,0,102,"-$7,365,642.00"
Running Scared,2006,42740100,17000000,6855137,2873951,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,,"-$7,270,912.00"
Centurion,2010,113710100,15000000,123570,7761478,R,Historical Fiction,Original Screenplay,Live Action,Action,0,97,"-$7,114,952.00"
Bandslam,2009,46060100,20000000,5210988,7756841,PG,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,111,"-$7,032,171.00"
Victor Frankenstein,2014,193100100,40000000,5775076,27194133,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,110,"-$7,030,791.00"
Rosewater,2014,207760100,10000000,3128941,56776,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,102,"-$6,814,283.00"
Funny Games,2008,59260100,15000000,1294640,6905487,R,Contemporary Fiction,Remake,Live Action,Thriller/Suspense,0,111,"-$6,799,873.00"
Hoot,2006,40190100,15000000,8117637,107361,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0,91,"-$6,775,002.00"
Peaceful Warrior,2006,52640100,10000000,2893666,366513,PG-13,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,,"-$6,739,821.00"
Charlie Bartlett,2008,49470100,12000000,3950294,1345615,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,97,"-$6,704,091.00"
Atlas Shrugged: Part II,2012,177970100,10000000,3336053,0,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Drama,1,112,"-$6,663,947.00"
Hoodwinked Too: Hood vs. Evil,2010,124050100,30000000,10143779,13209332,PG,Kids Fiction,Based on Folk Tale/Legend/Fairytale,Digital Animation,Adventure,1,86,"-$6,646,889.00"
1612,2007,133180100,12000000,0,5400624,,,,,,0,,"-$6,599,376.00"
Out of the Furnace,2013,179520100,22000000,11330849,4103526,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,115,"-$6,565,625.00"
Battle of the Sexes,2017,241910100,25000000,12638526,5806853,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,121,"-$6,554,621.00"
Attack the Block,2011,153510100,13000000,1024175,5435008,R,Fantasy,Original Screenplay,Live Action,Action,0,87,"-$6,540,817.00"
The Joneses,2009,133590100,10000000,1475746,2065819,R,,,,,0,96,"-$6,458,435.00"
For Your Consideration,2006,45520100,12000000,5549923,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,,"-$6,450,077.00"
The Iceman,2012,185940100,10000000,1930282,1693327,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,105,"-$6,376,391.00"
The Apparition,2011,140180100,17000000,4936819,5700462,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,82,"-$6,362,719.00"
The Brothers Grimsby,2015,204320100,35000000,6864016,21856454,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,82,"-$6,279,530.00"
One Night with the King,2006,32340100,20000000,13395961,329071,PG,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,123,"-$6,274,968.00"
The Rocker,2008,43500100,15000000,6409528,2357810,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,102,"-$6,232,662.00"
Free Fire,2015,223800100,10000000,1799322,1994417,R,Historical Fiction,Original Screenplay,Live Action,Action,0,90,"-$6,206,261.00"
Getaway,2013,183700100,18000000,10501938,1312051,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,89,"-$6,186,011.00"
Children of Men,2006,15960100,76000000,35552383,34292628,R,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,109,"-$6,154,989.00"
Shark Night 3D,2011,152270100,25000000,18877153,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,85,"-$6,122,847.00"
Under the Skin,2013,151720100,13300000,2614251,4615682,R,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,108,"-$6,070,067.00"
One for the Money,2011,140540100,42000000,26414527,9782694,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,106,"-$5,802,779.00"
Ratchet and Clank,2016,232500100,20000000,8813410,5552229,PG,Kids Fiction,Based on Game,Digital Animation,Adventure,0,94,"-$5,634,361.00"
Trash,2014,217960100,12000000,17484,6535702,R,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0,113,"-$5,446,814.00"
Max Steel,2016,249550100,10000000,3818664,744416,PG-13,Science Fiction,Based on Toy,Live Action,Action,0,91,"-$5,436,920.00"
Goal! The Dream Begins,2006,48380100,33000000,4283255,23327618,PG,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,121,"-$5,389,127.00"
Killer Joe,2011,147420100,10000000,1291645,3367465,R,Contemporary Fiction,Based on Play,Live Action,Black Comedy,0,102,"-$5,340,890.00"
"Jeff, Who Lives at Home",2010,147040100,10000000,4269426,438701,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,83,"-$5,291,873.00"
Inherent Vice,2014,204250100,20000000,8110975,6661371,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,148,"-$5,227,654.00"
A Dangerous Method,2011,153580100,20000000,5702083,9105448,R,Dramatization,Based on Play,Live Action,Drama,0,99,"-$5,192,469.00"
Alatriste,2007,118400100,28000000,0,22860477,,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0,145,"-$5,139,523.00"
Mandela: Long Walk to Freedom,2013,188440100,35000000,8323085,21567317,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,146,"-$5,109,598.00"
Blindness,2008,51830100,25000000,3073392,16979566,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,121,"-$4,947,042.00"
Grace of Monaco,2013,188450100,30000000,0,25199891,,Dramatization,Based on Real Life Events,Live Action,Drama,0,103,"-$4,800,109.00"
Life Before Her Eyes,2008,71530100,12000000,303439,6900000,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,,"-$4,796,561.00"
Hit & Run,2012,176420100,22000000,13749300,3467655,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,95,"-$4,783,045.00"
Early Man,2017,230840100,50000000,8267544,37018346,PG,Kids Fiction,Original Screenplay,Stop-Motion Animation,Adventure,0,89,"-$4,714,110.00"
White Boy Rick,2017,229660100,30000000,24004833,1333563,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,111,"-$4,661,604.00"
The Incredible Burt Wonderstone,2012,182960100,32000000,22537881,4854728,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,100,"-$4,607,391.00"
Killer Elite,2011,145620100,70000000,25124986,40284060,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,105,"-$4,590,954.00"
Everybody Wants Some,2015,238820100,10000000,3400278,2036848,R,Historical Fiction,Original Screenplay,Live Action,Comedy,0,116,"-$4,562,874.00"
Copying Beethoven,2006,69990100,11000000,355968,6230356,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,,"-$4,413,676.00"
The Painted Veil,2006,40280100,19400000,8060487,7058308,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,,"-$4,281,205.00"
Deck the Halls,2006,16190100,51000000,35093569,11722238,PG,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,93,"-$4,184,193.00"
Regression,2015,200430100,20000000,55039,15769335,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,106,"-$4,175,626.00"
Severance,2007,78300100,10000000,137221,5812781,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,,"-$4,049,998.00"
Black Snake Moan,2007,38270100,15000000,9396870,1554283,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,118,"-$4,048,847.00"
Father Figures,2016,236880100,25000000,17501244,3537197,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,113,"-$3,961,559.00"
Gotti,2016,246820100,10000000,4286367,1802733,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,110,"-$3,910,900.00"
Never Let Me Go,2010,138870100,15000000,2434652,8739066,R,Science Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,120,"-$3,826,282.00"
Labor Day,2011,147140100,18000000,13371528,818282,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,111,"-$3,810,190.00"
Cìkè Niè Yinniáng,2015,141280100,15000000,632542,10647342,Not Rated,Historical Fiction,Remake,Live Action,Drama,0,104,"-$3,720,116.00"
Premium Rush,2011,143650100,35000000,20275446,11117755,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,91,"-$3,606,799.00"
Chasseurs de dragons,2008,124270100,17000000,0,13446115,PG-13,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,,"-$3,553,885.00"
Dredd,2011,153600100,45000000,13414714,28052892,R,Science Fiction,Based on Comic/Graphic Novel,Live Action,Action,0,98,"-$3,532,394.00"
Swing Vote,2008,28870100,21000000,16289867,1300000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,120,"-$3,410,133.00"
People Like Us,2011,150320100,16000000,12431792,185680,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,115,"-$3,382,528.00"
Ben-Hur,2015,207170100,95000000,26410477,65259171,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,123,"-$3,330,352.00"
Running With Scissors,2006,42860100,12000000,6860000,1846701,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Comedy,0,,"-$3,293,299.00"
Battle of the Year,2013,174970100,20000000,8888355,7835022,PG-13,Contemporary Fiction,Based on Movie,Live Action,Drama,0,109,"-$3,276,623.00"
Der Baader Meinhof Komplex,2008,71820100,19700000,476270,16022557,R,Dramatization,Based on Real Life Events,Live Action,Action,0,150,"-$3,201,173.00"
Red Lights,2011,151660100,17700000,49521,14469363,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,118,"-$3,181,116.00"
Ernest et Celestine,2012,180410100,12500000,292562,9083882,Not Rated,Kids Fiction,Based on Fiction Book/Short Story,Hand Animation,Adventure,0,0,"-$3,123,556.00"
The Young Victoria,2008,106860100,35000000,11001272,20877619,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0,100,"-$3,121,109.00"
Death Sentence,2007,38070100,20000000,9534258,7373573,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,105,"-$3,092,169.00"
Cadillac Records,2008,40110100,12000000,8195551,746965,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,110,"-$3,057,484.00"
Unaccompanied Minors,2006,28450100,25000000,16655224,5315607,PG,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0,87,"-$3,029,169.00"
Rescue Dawn,2007,45640100,10000000,5490423,1547463,PG-13,Historical Fiction,Based on Real Life Events,Live Action,Action,0,126,"-$2,962,114.00"
Sydney White,2007,34490100,16500000,11892415,1743924,PG-13,Contemporary Fiction,Based on Folk Tale/Legend/Fairytale,Live Action,Comedy,0,108,"-$2,863,661.00"
Fun Size ,2012,164810100,14000000,9409538,1757077,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,86,"-$2,833,385.00"
Grindhouse,2007,21560100,53000000,25031037,25156752,R,Fantasy,Original Screenplay,Live Action,Horror,0,191,"-$2,812,211.00"
Bad Times at the El Royale,2018,295840100,32000000,17839115,11365264,R,Historical Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,141,"-$2,795,621.00"
12 Rounds,2009,130680100,20000000,12234694,5071954,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0,108,"-$2,693,352.00"
Reign of Assassins,2011,143480100,14000000,0,11354230,R,Historical Fiction,Original Screenplay,Live Action,Action,0,117,"-$2,645,770.00"
Promised Land,2011,145500100,15000000,7597898,4796664,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,106,"-$2,605,438.00"
Green Zone,2010,121300100,100000000,35497337,62025683,R,Historical Fiction,Based on Factual Book/Article,Live Action,Drama,0,114,"-$2,476,980.00"
"Mune, le gardien de la lune",2014,242240100,17000000,0,14534046,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,85,"-$2,465,954.00"
Before I Go to Sleep,2013,198630100,22000000,3242457,16321122,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,92,"-$2,436,421.00"
Churchill,2016,280510100,10000000,1279681,6302515,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0,110,"-$2,417,804.00"
Year One,2009,12790100,60000000,43337279,14267444,PG-13,Historical Fiction,Original Screenplay,Live Action,Comedy,0,97,"-$2,395,277.00"
Idlewild,2006,33420100,15000000,12669914,0,R,Historical Fiction,Original Screenplay,Live Action,Musical,0,,"-$2,330,086.00"
Slither,2006,40870100,15250000,7802450,5127893,R,Science Fiction,Original Screenplay,Live Action,Horror,0,96,"-$2,319,657.00"
The Last Station,2010,105000100,18000000,6617867,9078279,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,110,"-$2,303,854.00"
Hotel Artemis,2017,326810100,15000000,6708137,6050662,R,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,97,"-$2,241,201.00"
Little Boy,2014,204870100,20000000,6485961,11283338,PG-13,Historical Fiction,Original Screenplay,Live Action,Drama,0,106,"-$2,230,701.00"
Lady in the Water,2006,13140100,75000000,42285169,30500000,PG-13,Fantasy,Original Screenplay,Live Action,Drama,0,110,"-$2,214,831.00"
School for Scoundrels,2006,27190100,20000000,17807569,0,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0,101,"-$2,192,431.00"
Bad Words,2013,192610100,10000000,7779614,63531,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,89,"-$2,156,855.00"
Cedar Rapids,2010,139720100,10000000,6861102,1001029,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,87,"-$2,137,869.00"
The Ruins,2008,27650100,25000000,17432844,5477719,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Horror,0,90,"-$2,089,437.00"
For Greater Glory: The True Story of Cristiada,2011,174220100,12000000,5669081,4357174,R,Dramatization,Based on Real Life Events,Live Action,Action,0,143,"-$1,973,745.00"
Ca$h,2008,121130100,13700000,0,11738256,,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,100,"-$1,961,744.00"
Zodiac,2007,17120100,85000000,33080084,50000000,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,158,"-$1,919,916.00"
Marshall,2017,250110100,12000000,10051659,65157,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,118,"-$1,883,184.00"
The Astronaut Farmer,2007,35610100,13000000,11003643,137570,PG,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,104,"-$1,858,787.00"
CHiPS,2016,141730100,25000000,18600152,4590140,R,Contemporary Fiction,Based on TV,Live Action,Action,0,100,"-$1,809,708.00"
Jin líng shí san chai,2011,152950100,100000000,311434,97915583,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,141,"-$1,772,983.00"
White Noise 2: The Light,2007,124110100,10000000,0,8243567,PG-13,Fantasy,Original Screenplay,Live Action,Horror,1,,"-$1,756,433.00"
The Pirates Who Don't Do Anything: A VeggieTales Movie,2007,33030100,15000000,12981269,267175,G,Kids Fiction,Based on Short Film,Digital Animation,Adventure,1,85,"-$1,751,556.00"
Machete Kills,2013,183280100,20000000,8008161,10264848,R,Contemporary Fiction,Original Screenplay,Live Action,Action,1,107,"-$1,726,991.00"
Peeples,2012,171140100,11000000,9177065,130101,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,95,"-$1,692,834.00"
Last Holiday,2006,14590100,45000000,38399961,4943286,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0,112,"-$1,656,753.00"
"I Love You, Beth Cooper",2009,30590100,18000000,14800725,1581813,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,102,"-$1,617,462.00"
Danny Collins,2014,216770100,10000000,5637066,2828779,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,106,"-$1,534,155.00"
Splice,2009,110740100,30000000,17010170,11532324,R,Science Fiction,Original Screenplay,Animation/Live Action,Horror,0,104,"-$1,457,506.00"
Fired Up,2009,27810100,20000000,17231291,1377279,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,91,"-$1,391,430.00"
MacGruber,2010,110840100,10000000,8525600,104295,R,,Based on TV,Live Action,Comedy,0,90,"-$1,370,105.00"
Larry the Cable Guy: Health Inspector,2006,29590100,17000000,15680099,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,,"-$1,319,901.00"
Lars and the Real Girl,2007,44640100,12500000,5956480,5320639,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,106,"-$1,222,881.00"
Hot Tub Time Machine 2,2013,201330100,14000000,12314651,511993,R,Science Fiction,Original Screenplay,Live Action,Comedy,1,93,"-$1,173,356.00"
Chloe,2010,135540100,13000000,3075255,8755876,R,Contemporary Fiction,Remake,Live Action,Thriller/Suspense,0,96,"-$1,168,869.00"
Gods of Egypt,2015,201660100,140000000,31153464,107683292,PG-13,Fantasy,Original Screenplay,Live Action,Adventure,0,127,"-$1,163,244.00"
The Collection,2012,174800100,10000000,6810754,2079340,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1,82,"-$1,109,906.00"
Capitalism: A Love Story,2009,84040100,20000000,14363397,4758134,R,Factual,Based on Real Life Events,Live Action,Documentary,0,127,"-$878,469.00"
Where the Wild Things Are,2009,107330100,100000000,77233467,21890189,PG,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0,100,"-$876,344.00"
Evan Almighty,2007,4330100,175000000,100289690,73841639,PG,Fantasy,Original Screenplay,Live Action,Comedy,1,96,"-$868,671.00"
I Think I Love My Wife,2007,33550100,14000000,12559771,645640,R,Contemporary Fiction,Remake,Live Action,Romantic Comedy,0,94,"-$794,589.00"
Warrior,2010,135940100,25000000,13657115,10558270,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,139,"-$784,615.00"
Denial,2016,229850100,10000000,4073448,5190492,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,110,"-$736,060.00"
Conviction,2010,138880100,12500000,6797696,5029284,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,96,"-$673,020.00"
Funny People,2009,10450100,72500000,51855045,20025260,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,146,"-$619,695.00"
LOL,2011,173340100,11000000,0,10431506,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0,97,"-$568,494.00"
Rendition,2007,37840100,27500000,9736045,17203880,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,122,"-$560,075.00"
Frost/Nixon,2008,26540100,29000000,18622031,9830914,R,Dramatization,Based on Play,Live Action,Drama,0,122,"-$547,055.00"
Broken City,2012,169370100,35000000,19701164,14778881,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,108,"-$519,955.00"
American Dreamz,2006,130880100,17000000,7314027,9196944,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy,0,107,"-$489,029.00"
Cirque du Freak: The Vampire's Assistant,2009,109380100,40000000,14046595,25707362,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Action,0,109,"-$246,043.00"
The Brave One,2007,15390100,70000000,36793804,32998900,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,122,"-$207,296.00"
The Lovely Bones,2009,125100100,95000000,44114232,50780216,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,135,"-$105,552.00"
Holmes & Watson,2018,281700100,42000000,30568743,11347923,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,90,"-$83,334.00"
And So It Goes,2014,205720100,18000000,15160801,2759212,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,93,"-$79,987.00"
Miss Bala,2018,321240100,15000000,14870702,110462,PG-13,Contemporary Fiction,Remake,Live Action,Action,0,104,"-$18,836.00"
Stoker,2011,141810100,12000000,1703125,10331788,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,100,"$34,913.00"
Hugo,2011,123090100,180000000,73864507,106183277,PG,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,0,126,"$47,784.00"
Reign Over Me,2007,25600100,20000000,19661987,420000,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,124,"$81,987.00"
Little Children,2006,45670100,14000000,5463019,8658158,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,,"$121,177.00"
Alex Cross,2012,173010100,35000000,25888412,9538347,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,102,"$426,759.00"
I Don't Know How She Does It,2011,150530100,24000000,9659074,14815389,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,89,"$474,463.00"
The Dilemma,2010,151140100,70000000,48475290,22071575,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,110,"$546,865.00"
Scouts Guide to the Zombie Apocalypse,2015,208670100,15000000,3703046,11851809,R,Fantasy,Original Screenplay,Live Action,Comedy,0,93,"$554,855.00"
That's My Boy,2011,158690100,57500000,36931089,21154146,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,115,"$585,235.00"
Dead Silence,2007,28530100,20000000,16574590,4040071,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,90,"$614,661.00"
Georgia Rule,2007,26300100,20000000,18882880,1936721,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,113,"$819,601.00"
Ultraviolet,2006,26670100,30000000,18522064,12440048,PG-13,Science Fiction,Original Screenplay,Live Action,Action,0,,"$962,112.00"
Joyeux Noël,2006,61080100,22000000,1054361,22079714,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,,"$1,134,075.00"
From Paris With Love,2009,113330100,52000000,24077427,29061741,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,92,"$1,139,168.00"
The Guilt Trip,2011,147490100,40000000,37134215,4160459,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,95,"$1,294,674.00"
The Box,2009,115470100,25000000,15051977,11289919,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,115,"$1,341,896.00"
Shut In,2015,218610100,10000000,6900335,4460330,R,Fantasy,Original Screenplay,Live Action,Thriller/Suspense,0,91,"$1,360,665.00"
Woodlawn,2015,228380100,13000000,14394097,9606,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0,123,"$1,403,703.00"
In the Valley of Elah,2007,42850100,23000000,6777741,17711409,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,121,"$1,489,150.00"
Pan,2015,201650100,150000000,35088320,116437653,PG,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0,111,"$1,525,973.00"
Bangkok Dangerous,2008,29990100,45000000,15298133,31300000,R,Contemporary Fiction,Remake,Live Action,Action,0,100,"$1,598,133.00"
Youth in Revolt,2010,120330100,18000000,15285588,4400000,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,90,"$1,685,588.00"
Seeking a Friend for the End of the World,2011,170110100,10000000,7078738,4688221,R,Science Fiction,Original Screenplay,Live Action,Comedy,0,101,"$1,766,959.00"
Case 39,2010,120400100,27000000,13261851,15511976,R,Fantasy,Original Screenplay,Live Action,Horror,0,109,"$1,773,827.00"
End of the Spear,2006,34620100,10000000,11748661,175380,PG-13,Historical Fiction,Original Screenplay,Live Action,Drama,0,,"$1,924,041.00"
The Vatican Tapes,2015,209300100,13000000,1784763,13144421,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,91,"$1,929,184.00"
Three Kingdoms: Resurrection of the Dragon,2008,124190100,20000000,0,22139590,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,,"$2,139,590.00"
PMC: deo beong-keo,2018,390770100,10300000,0,12478635,,Contemporary Fiction,Original Screenplay,Live Action,Action,,119,"$2,178,635.00"
A Few Best Men,2011,230440100,15000000,0,17224539,Not Rated,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,97,"$2,224,539.00"
The Light Between Oceans,2014,213840100,20000000,12545979,9735753,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,132,"$2,281,732.00"
American Ultra,2015,230020100,28000000,14439985,15855043,R,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy,0,96,"$2,295,028.00"
Beerfest,2006,26000100,17500000,19185184,974132,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,110,"$2,659,316.00"
Jack the Giant Slayer,2011,145660100,195000000,65187603,132500000,PG-13,Fantasy,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Adventure,0,113,"$2,687,603.00"
88 Minutes,2008,28230100,30000000,16930884,16024515,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,111,"$2,955,399.00"
Jupiter Ascending,2014,189400100,179000000,47482519,134500000,PG-13,Science Fiction,Original Screenplay,Live Action,Action,0,127,"$2,982,519.00"
Defiance,2008,19430100,50000000,28644813,24342941,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,136,"$2,987,754.00"
Cirque du Soleil: Worlds Away,2012,173670100,25000000,12512862,15500000,PG,Fantasy,Original Screenplay,Live Action,Drama,0,91,"$3,012,862.00"
Transcendence,2014,188460100,100000000,23022309,80016949,PG-13,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,119,"$3,039,258.00"
Mad Money,2008,24670100,22000000,20668843,4375214,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0,104,"$3,044,057.00"
Stay Alive,2006,22790100,20000000,23086480,101026,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,,"$3,187,506.00"
